transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_105,"Minister of Finance, Planning and Economic Development",minister,Asian Game (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_106,"Minister of Finance, Planning and Economic Development",minister,Commonwealth Game Hambantota (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_107,"Minister of Finance, Planning and Economic Development",minister,Magampura Port Management Company (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_108,"Minister of Finance, Planning and Economic Development",minister,Mihin Lanka (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_109,"Minister of Finance, Planning and Economic Development",minister,Peliyagoda Warehouse,minister,minister,2024-11-25,
2412/08_tr_110,"Minister of Finance, Planning and Economic Development",minister,Strategic Enterprises Management Agency,minister,minister,2024-11-25,
2412/08_tr_111,"Minister of Finance, Planning and Economic Development",minister,Lanka Fabric Ltd,minister,minister,2024-11-25,
2412/08_tr_112,Minister of Energy,minister,Ceylon Electricity Board and its subsidiary Companies,minister,minister,2024-11-25,
2412/08_tr_113,Minister of Energy,minister,Ceylon Electricity Company,minister,minister,2024-11-25,
2412/08_tr_114,Minister of Energy,minister,Lanka Coal Company (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_115,Minister of Energy,minister,LTL Holdings (Pvt.) Ltd.,minister,minister,2024-11-25,
2412/08_tr_116,Minister of Energy,minister,Ceylon Petroleum Corporation,minister,minister,2024-11-25,
2412/08_tr_117,Minister of Energy,minister,Ceylon Petroleum Storage Terminal Ltd.,minister,minister,2024-11-25,
2412/08_tr_118,Minister of Energy,minister,Petroleum Development Authority of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_119,Minister of Energy,minister,Polipto Lanka (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_120,Minister of Energy,minister,Sri Lanka Sustainable Energy Authority,minister,minister,2024-11-25,
2412/08_tr_121,Minister of Energy,minister,Sri Lanka Atomic Energy Board,minister,minister,2024-11-25,
2412/08_tr_122,Minister of Energy,minister,Sri Lanka Atomic Energy Regulatory Council,minister,minister,2024-11-25,
2412/08_tr_123,Minister of Energy,minister,Trinco Petroleum Terminal (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_124,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Agriculture,minister,minister,2024-11-25,
2412/08_tr_125,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Agrarian Development,minister,minister,2024-11-25,
2412/08_tr_126,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Agriculture and Agrarian Insurance Board,minister,minister,2024-11-25,
2412/08_tr_127,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Paddy Marketing Board,minister,minister,2024-11-25,
2412/08_tr_128,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Hector Kobbekaduwa Agrarian Research and Training Institute,minister,minister,2024-11-25,
2412/08_tr_129,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Sri Lanka Council for Agricultural Research Policy,minister,minister,2024-11-25,
2412/08_tr_130,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,National Agricultural Diversification and Settlement Authority,minister,minister,2024-11-25,
2412/08_tr_131,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,National Fertilizer Secretariat,minister,minister,2024-11-25,
